ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
IND,India,total,Drinking water,2016,1.08377,14350907.3796,Limited service
IND,India,rural,Drinking water,2016,1.37538,12169173.82456,Limited service
IND,India,urban,Drinking water,2016,0.49654,2181733.62286,Limited service
IND,India,rural,Drinking water,2016,53.62719,474485269.2231,Safely managed service
IND,India,total,Drinking water,2016,0.78632,10412194.01471,Surface water
IND,India,rural,Drinking water,2016,1.00821,8920519.01771,Surface water
IND,India,urban,Drinking water,2016,0.33949,1491675.04889,Surface water
IND,India,total,Drinking water,2016,6.27064,83034045.5752,Unimproved
IND,India,rural,Drinking water,2016,7.67002,67863188.60956,Unimproved
IND,India,urban,Drinking water,2016,3.45273,15170826.03308,Unimproved
IND,India,total,Drinking water,2017,92.67464,1241080426.6583,At least basic
IND,India,urban,Drinking water,2017,95.99302,431934541.62914,At least basic
IND,India,rural,Drinking water,2017,34.99942,311220268.5368,Basic service
IND,India,total,Drinking water,2017,0.76449,10237884.15476,Limited service
IND,India,rural,Drinking water,2017,0.99481,8845967.30262,Limited service
IND,India,urban,Drinking water,2017,0.30934,1391916.53216,Limited service
IND,India,rural,Drinking water,2017,55.99605,497925587.38581,Safely managed service
IND,India,total,Drinking water,2017,0.75357,10091704.65942,Surface water
IND,India,rural,Drinking water,2017,0.95998,8536310.4922,Surface water
IND,India,urban,Drinking water,2017,0.34567,1555393.85854,Surface water
IND,India,total,Drinking water,2017,5.8073,77770144.52752,Unimproved
IND,India,rural,Drinking water,2017,7.04975,62687482.28257,Unimproved
IND,India,urban,Drinking water,2017,3.35197,15082659.98016,Unimproved
